customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID_0000,Male,0,No,No,67,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),78.85,2511.37,No
ID_0001,Female,1,No,No,25,No,Yes,DSL,No,No,No,No,No,No internet service,Two year,No,Mailed check,59.67,5943.99,Yes
ID_0002,Male,0,No,No,61,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,99.14,4650.02,Yes
ID_0003,Male,0,Yes,No,26,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,102.1,3678.42,Yes
ID_0004,Male,0,Yes,No,34,Yes,No,DSL,No,No internet service,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),64.9,4554.96,No
ID_0005,Female,1,Yes,No,9,Yes,No,No,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Bank transfer (automatic),34.3,1071.88,No
ID_0006,Male,0,Yes,Yes,40,Yes,Yes,No,No,Yes,No,No internet service,No,Yes,One year,No,Credit card (automatic),38.8,5762.92,Yes
ID_0007,Male,0,Yes,No,7,No,No,No,No,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),91.01,4480.83,Yes
ID_0008,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,100.96,5348.15,No
ID_0009,Female,0,Yes,Yes,66,No,Yes,Fiber optic,Yes,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,55.09,2424.36,Yes
ID_0010,Male,0,Yes,Yes,30,Yes,No,No,No,No,No,Yes,No,No internet service,Two year,Yes,Mailed check,55.06,6457.98,No
ID_0011,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,35.12,4166.93,Yes
ID_0012,Male,0,No,No,58,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,84.32,874.12,Yes
ID_0013,Male,0,No,Yes,55,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,Yes,One year,No,Bank transfer (automatic),30.34,5820.1,No
ID_0014,Female,0,Yes,No,14,Yes,No,DSL,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,88.93,996.96,No
ID_0015,Male,0,Yes,No,37,Yes,No,No,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,78.36,533.62,Yes
